Argument ID,Part,Usage,Conclusion,Stance,Premise
A05039,usa,test,We should subsidize student loans,in favor of,student loans set children up to be valuable citizens and the state should support this
A05040,usa,test,We should legalize sex selection,against,we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population
A05041,usa,test,We should oppose collectivism,in favor of,collectivism prevents original thoughts and discourages people from looking for their own ideas
A05042,usa,test,We should ban missionary work,in favor of,missionary work plays on the ignorance of local people to exploit them
A05044,usa,test,We should limit judicial activism,in favor of,activists judges aren't the ones shaping the laws. they're not &quot;all&quot; the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments
A05046,usa,test,Homeschooling should be banned,against,"homeschooling is a good option for children who are bullied, giving them a safe place to learn"
A05047,usa,test,We should oppose collectivism,in favor of,treating everyone as a large group unit is not helpful for people who have different individual needs.
A05051,usa,test,Homeopathy brings more harm than good,against,homeopathy is a natural way to cure a disease.
A05085,usa,test,Homeschooling should be banned,in favor of,homeschooling means that the children involved are deprived of regular social contact with others of their own age
A05089,usa,test,We should ban missionary work,against,missionary work is beneficial for those receiving aid.
A05094,usa,test,Homeopathy brings more harm than good,in favor of,"Homeopathy is used as a replacement for traditional medicine, which can leave serious ailments untreated."
A06009,usa,test,Homeschooling should be banned,in favor of,"home schooling deprives children from the natural interaction with other kids their age, make new friends, and learn how to engage with children who are different than them"
A06017,usa,test,We should subsidize student loans,in favor of,we should subsidize student loans as these are our future leaders and workers and we want to ensure their success in order to secure the countries success.
A07006,usa,test,We should ban missionary work,in favor of,people should keep their religion to themselves
A07017,usa,test,Homeopathy brings more harm than good,against,homeopathy uses natural remedies that have little to no side affects on the body.
A07036,usa,test,We should limit judicial activism,in favor of,judicial activism relies too heavily upon personal opinion and leads to bias.
A07039,usa,test,We should ban missionary work,in favor of,missionaries are intrusive to other countries and very invasive to the culture.
A07041,usa,test,Homeopathy brings more harm than good,against,homeopathy brings tangible results in non-evasive ways to many ailments and offer an alternative to more expensive forms of treatment.
A07047,usa,test,We should subsidize student loans,against,a person's education should be the responsibility of themselves
A07057,usa,test,We should legalize sex selection,against,gender selection is essentially playing god.
A07067,usa,test,We should limit judicial activism,against,judicial activism allows for common sense to be applied where necessary
A07072,usa,test,We should legalize sex selection,in favor of,sex selection is the perfect solution to a family that has a history of all one gender.  many families want the perfect one and one so it's perfect for those as well.  it's a win no matter how you look.
A07083,usa,test,Homeschooling should be banned,in favor of,children have a right to education and ignorant parents that think they are more qualified than they are should not have tyranny over that right
A07095,usa,test,We should oppose collectivism,against,supporting collectivism is important because groups value is most important in the society which we live today.
A08006,usa,test,We should limit judicial activism,in favor of,a judge shouldnt be able to show their personal views.
A08010,usa,test,Homeschooling should be banned,against,"if the parents can provide a better education than what their local schools offer, they should be allowed to do so."
A09010,usa,test,We should limit judicial activism,in favor of,judges should follow the letter of the law when making rulings and not make up things based on how they feel.
A09014,usa,test,We should ban missionary work,in favor of,historically missionaries have interfered in an unhealthy way with other cultures and continue to do so.
A09025,usa,test,We should subsidize student loans,in favor of,it's the only way most people can afford college
A09033,usa,test,We should oppose collectivism,in favor of,"collectivism is a facet of socialism, communism, etc. and eliminates individual worth"
A09034,usa,test,Homeopathy brings more harm than good,against,homeopathy often gives people hope to cure some illnesses that will never be cured without modern medicine.
A09039,usa,test,We should ban missionary work,against,we should not ban missionary work because people have a right to help out others if they chose to do so
